GEOID,Census_Tract,County,State,Total,Total_Owner,Owner_plumbing,Owner_no_plumbing,Total_Renter,Renter_plumbing,Renter_no_plumbing
36005036901,Census Tract 369.01, Bronx, New York,766,68,68,0,698,692,6,
36005036902,Census Tract 369.02, Bronx, New York,779,22,22,0,757,757,0,
36005037000,Census Tract 370, Bronx, New York,700,505,505,0,195,195,0,
36005037100,Census Tract 371, Bronx, New York,1795,142,142,0,1653,1653,0,
36005037200,Census Tract 372, Bronx, New York,829,231,231,0,598,598,0,
36005037300,Census Tract 373, Bronx, New York,1899,227,227,0,1672,1661,11,
36005037400,Census Tract 374, Bronx, New York,1494,197,197,0,1297,1297,0,
36005037504,Census Tract 375.04, Bronx, New York,1220,25,25,0,1195,1195,0,
36005037600,Census Tract 376, Bronx, New York,775,273,273,0,502,502,0,
36005037800,Census Tract 378, Bronx, New York,1070,151,151,0,919,919,0,
36005037900,Census Tract 379, Bronx, New York,1514,67,67,0,1447,1439,8,
36005038000,Census Tract 380, Bronx, New York,1975,714,714,0,1261,1261,0,
36005038100,Census Tract 381, Bronx, New York,2513,111,111,0,2402,2402,0,
36005038200,Census Tract 382, Bronx, New York,971,526,526,0,445,445,0,
36005038301,Census Tract 383.01, Bronx, New York,1641,32,32,0,1609,1609,0,
36005038303,Census Tract 383.03, Bronx, New York,1282,42,42,0,1240,1226,14,
36005038304,Census Tract 383.04, Bronx, New York,795,38,38,0,757,757,0,
36005038500,Census Tract 385, Bronx, New York,1635,49,49,0,1586,1586,0,
36005038600,Census Tract 386, Bronx, New York,2834,919,919,0,1915,1915,0,
36005038700,Census Tract 387, Bronx, New York,1259,29,29,0,1230,1230,0,
36005038800,Census Tract 388, Bronx, New York,925,532,532,0,393,372,21,
36005038900,Census Tract 389, Bronx, New York,1821,40,40,0,1781,1781,0,
36005039000,Census Tract 390, Bronx, New York,1093,183,183,0,910,910,0,
36005039100,Census Tract 391, Bronx, New York,2756,203,203,0,2553,2553,0,
36005039200,Census Tract 392, Bronx, New York,635,161,161,0,474,474,0,
36005039300,Census Tract 393, Bronx, New York,3057,99,99,0,2958,2958,0,
36005039400,Census Tract 394, Bronx, New York,1677,380,380,0,1297,1266,31,
36005039500,Census Tract 395, Bronx, New York,1592,190,190,0,1402,1402,0,
36005039600,Census Tract 396, Bronx, New York,1381,319,319,0,1062,1029,33,
36005039700,Census Tract 397, Bronx, New York,548,5,5,0,543,543,0,
36005039800,Census Tract 398, Bronx, New York,1209,573,573,0,636,636,0,
36005039901,Census Tract 399.01, Bronx, New York,1705,10,10,0,1695,1663,32,
36005039902,Census Tract 399.02, Bronx, New York,1701,9,9,0,1692,1692,0,
36005040100,Census Tract 401, Bronx, New York,1832,11,11,0,1821,1821,0,
36005040302,Census Tract 403.02, Bronx, New York,1580,11,11,0,1569,1560,9,
36005040303,Census Tract 403.03, Bronx, New York,1357,82,82,0,1275,1275,0,
36005040304,Census Tract 403.04, Bronx, New York,1202,25,25,0,1177,1118,59,
36005040400,Census Tract 404, Bronx, New York,1100,620,595,25,480,480,0,
36005040501,Census Tract 405.01, Bronx, New York,1339,77,77,0,1262,1262,0,
36005040502,Census Tract 405.02, Bronx, New York,2365,193,193,0,2172,2172,0,
36005040600,Census Tract 406, Bronx, New York,1290,366,366,0,924,924,0,
36005040701,Census Tract 407.01, Bronx, New York,1217,6,6,0,1211,1205,6,
36005040702,Census Tract 407.02, Bronx, New York,2754,98,81,17,2656,2593,63,
36005040800,Census Tract 408, Bronx, New York,1733,225,225,0,1508,1508,0,
36005040900,Census Tract 409, Bronx, New York,1375,363,363,0,1012,1012,0,
36005041100,Census Tract 411, Bronx, New York,1285,146,146,0,1139,1116,23,
36005041300,Census Tract 413, Bronx, New York,3069,211,211,0,2858,2839,19,
36005041400,Census Tract 414, Bronx, New York,1787,625,625,0,1162,1162,0,
36005041500,Census Tract 415, Bronx, New York,2425,63,63,0,2362,2362,0,
36005041800,Census Tract 418, Bronx, New York,1208,290,290,0,918,918,0,
36005041900,Census Tract 419, Bronx, New York,2465,36,36,0,2429,2429,0,
36005042000,Census Tract 420, Bronx, New York,1654,94,94,0,1560,1560,0,
36005042100,Census Tract 421, Bronx, New York,2038,131,131,0,1907,1901,6,
36005042200,Census Tract 422, Bronx, New York,1153,550,550,0,603,603,0,
36005042300,Census Tract 423, Bronx, New York,1289,30,30,0,1259,1216,43,
36005042400,Census Tract 424, Bronx, New York,798,462,462,0,336,330,6,
36005042500,Census Tract 425, Bronx, New York,2050,24,24,0,2026,2026,0,
36005042600,Census Tract 426, Bronx, New York,2178,1269,1269,0,909,909,0,
36005042800,Census Tract 428, Bronx, New York,762,523,523,0,239,239,0,
36005042901,Census Tract 429.01, Bronx, New York,1319,70,70,0,1249,1249,0,
36005042902,Census Tract 429.02, Bronx, New York,1648,130,130,0,1518,1492,26,
36005043000,Census Tract 430, Bronx, New York,1217,700,700,0,517,493,24,
36005043101,Census Tract 431.01, Bronx, New York,1757,51,51,0,1706,1706,0,
36005043102,Census Tract 431.02, Bronx, New York,1756,229,229,0,1527,1461,66,
36005043400,Census Tract 434, Bronx, New York,1364,550,550,0,814,814,0,
36005043501,Census Tract 435.01, Bronx, New York,336,0,0,0,336,336,0,
36005043502,Census Tract 435.02, Bronx, New York,0,0,0,0,0,0,0,
36005043503,Census Tract 435.03, Bronx, New York,0,0,0,0,0,0,0,
36005043600,Census Tract 436, Bronx, New York,700,388,382,6,312,312,0,
36005044200,Census Tract 442, Bronx, New York,1312,665,665,0,647,616,31,
36005044400,Census Tract 444, Bronx, New York,1435,886,886,0,549,549,0,
36005044800,Census Tract 448, Bronx, New York,661,460,460,0,201,201,0,
36005044901,Census Tract 449.01, Bronx, New York,766,369,363,6,397,397,0,
36005044902,Census Tract 449.02, Bronx, New York,882,314,299,15,568,568,0,
36005045101,Census Tract 451.01, Bronx, New York,859,233,233,0,626,626,0,
36005045102,Census Tract 451.02, Bronx, New York,855,339,339,0,516,516,0,
36005045600,Census Tract 456, Bronx, New York,1077,755,755,0,322,322,0,
36005045800,Census Tract 458, Bronx, New York,2036,0,0,0,2036,2036,0,
36005046000,Census Tract 460, Bronx, New York,1001,121,121,0,880,880,0,
